Artist,Album,Song,Release date,Album type,Song duration,Date&time played,Album Img,Date&time
Piero Piccioni,Romantic Strings,Lady Love,5/26/2021,album,118866,2024-06-08T11:35:16.094Z,https://i.scdn.co/image/ab67616d0000b273237b035940b56f2b1581971f,2024-06-08 11:35:16.094000+00:00
Instupendo,Falling,Falling,9/16/2016,single,119744,2024-06-08T11:33:16.878Z,https://i.scdn.co/image/ab67616d0000b2731bdf6d45aaa8a7cee6c88c9c,2024-06-08 11:33:16.878000+00:00
salvia palth,melanchole,(dream),5/6/2013,album,84701,2024-06-08T11:31:16.940Z,https://i.scdn.co/image/ab67616d0000b2734a82bda3507d50ac3e039bb0,2024-06-08 11:31:16.940000+00:00
Sven Libaek,The Set (Original Motion Picture Soundtrack) [Remastered],Touching Hands,2/1/2013,album,58000,2024-06-08T11:29:51.214Z,https://i.scdn.co/image/ab67616d0000b273df510f071ece1b4366bf5822,2024-06-08 11:29:51.214000+00:00
Tomoki Hasegawa,"TV Anime ""Nil Admirari no Tenbin"" Original Soundtrack",U no Hane,8/20/2018,album,86280,2024-06-08T11:28:53.500Z,https://i.scdn.co/image/ab67616d0000b2737b3e5be563f2f988731652dc,2024-06-08 11:28:53.500000+00:00
照井順政,「呪術廻戦 懐玉・玉折」オリジナル・サウンドトラック,Our Mission,8/5/2023,album,135500,2024-06-08T11:27:26.623Z,https://i.scdn.co/image/ab67616d0000b273be21efb34b1b948b0e239b56,2024-06-08 11:27:26.623000+00:00
帆足圭吾,NieR:Automata Original Soundtrack,Faltering Prayer (Starry Sky),3/29/2017,compilation,224506,2024-06-08T11:25:10.703Z,https://i.scdn.co/image/ab67616d0000b273773ee134c736c4b5624977ed,2024-06-08 11:25:10.703000+00:00
Michael Small,'klute' - Original Soundtrack Recording - Remastered,Love Theme,1971,album,87367,2024-06-08T11:21:25.566Z,https://i.scdn.co/image/ab67616d0000b2737fc5d1436f400b1f27872fc9,2024-06-08 11:21:25.566000+00:00
Teesa,Moments (Voice Memo),Moments - Voice Memo,10/20/2023,single,66873,2024-06-08T11:19:57.079Z,https://i.scdn.co/image/ab67616d0000b273dfe6ea97a977de20a2a5d504,2024-06-08 11:19:57.079000+00:00
Ty's Music,Reverberation,As Time Flies,11/3/2023,album,97975,2024-06-08T11:18:50.197Z,https://i.scdn.co/image/ab67616d0000b27385c963264e709701bb0aafda,2024-06-08 11:18:50.197000+00:00
Yu-Peng Chen,Genshin Impact - Vortex of Legends (Original Game Soundtrack),Snow-Buried Tales,4/2/2021,album,91984,2024-06-08T11:17:11.210Z,https://i.scdn.co/image/ab67616d0000b273141d9edc1508d9ef951990a6,2024-06-08 11:17:11.210000+00:00
Chippy Bits,Pokemon Diamond and Pearl Chiptunes,"Lake (From ""Pokemon Diamond & Pokemon Pearl"")",9/4/2020,album,197500,2024-06-08T11:15:38.722Z,https://i.scdn.co/image/ab67616d0000b273cfa81dd2f2ce93cb0159ed8b,2024-06-08 11:15:38.722000+00:00
アトラスサウンドチーム,PERSONA5 ORIGINAL SOUNDTRACK,Beneath the Mask - instrumental version,1/17/2017,album,281813,2024-06-08T11:12:21.066Z,https://i.scdn.co/image/ab67616d0000b2732a061f8cc383443cbb46adf6,2024-06-08 11:12:21.066000+00:00
Disasterpeace,Marcel The Shell With Shoes On (Original Motion Picture Soundtrack),The Sound of Myself,6/24/2022,album,77612,2024-06-08T11:07:38.832Z,https://i.scdn.co/image/ab67616d0000b273cb08c10785a53da2b97a5f53,2024-06-08 11:07:38.832000+00:00
アトラスサウンドチーム,PERSONA5 ORIGINAL SOUNDTRACK,Crossroads,1/17/2017,album,54040,2024-06-08T11:06:20.276Z,https://i.scdn.co/image/ab67616d0000b2732a061f8cc383443cbb46adf6,2024-06-08 11:06:20.276000+00:00
Flawed Mangoes,Killswitch Lullaby,Killswitch Lullaby,8/2/2023,single,147096,2024-06-08T11:05:26.322Z,https://i.scdn.co/image/ab67616d0000b273c6fd62b30fe5e93ca266329e,2024-06-08 11:05:26.322000+00:00
Flawed Mangoes,Killswitch Melodies,Riff 2,12/8/2023,album,164000,2024-06-08T11:02:58.212Z,https://i.scdn.co/image/ab67616d0000b273bf870840227ff8f8af84705e,2024-06-08 11:02:58.212000+00:00
Fred Bongusto,Gli ordini sono ordini (Original Motion Picture Soundtrack),Matrimonio combinato,1972,album,80806,2024-06-08T11:00:14.006Z,https://i.scdn.co/image/ab67616d0000b273658706ee30510142aee806c2,2024-06-08 11:00:14.006000+00:00
Toby Fox,UNDERTALE Soundtrack,Home,9/15/2015,album,123000,2024-06-08T10:58:52.237Z,https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2,2024-06-08 10:58:52.237000+00:00
Vittorio Sommatino,Lake Theme from Pokèmon Diamond and Pearl,Lake Theme from Pokèmon Diamond and Pearl,2000,single,169290,2024-06-08T10:56:49.517Z,https://i.scdn.co/image/ab67616d0000b2736db7ab1de9853762fc248793,2024-06-08 10:56:49.517000+00:00
Instupendo,Comfort Chain,Comfort Chain,1/20/2017,single,184363,2024-06-08T10:53:59.583Z,https://i.scdn.co/image/ab67616d0000b2734a41ed550aa0d6566e43b3f2,2024-06-08 10:53:59.583000+00:00
C418,Minecraft - Volume Alpha,Minecraft,3/4/2011,album,254000,2024-06-08T10:50:54.238Z,https://i.scdn.co/image/ab67616d0000b273aaeb5c9fb6131977995b7f0e,2024-06-08 10:50:54.238000+00:00
小宮知子,ペルソナ4 ジ・アルティマックス ウルトラスープレックスホールド オリジナル・サウンドトラック,全ての人の魂の戦い - USH ver.,12/17/2014,album,190040,2024-06-08T10:46:40.261Z,https://i.scdn.co/image/ab67616d0000b2733d601dd2831d35b6c37c40ae,2024-06-08 10:46:40.261000+00:00
岡部啓一,NieR:Automata Original Soundtrack,Voice of no Return,3/29/2017,compilation,231840,2024-06-08T10:43:29.078Z,https://i.scdn.co/image/ab67616d0000b273773ee134c736c4b5624977ed,2024-06-08 10:43:29.078000+00:00
Alej,Ballads at Sunset (Piano Version),Ballads at Sunset - Piano Version,10/13/2023,single,104000,2024-06-08T10:39:37.220Z,https://i.scdn.co/image/ab67616d0000b273c5299a72ff8967e8dc6d539f,2024-06-08 10:39:37.220000+00:00
小宮知子,ペルソナ4 オリジナル・サウンドトラック,全ての人の魂の詩,7/23/2008,album,338306,2024-06-08T10:37:52.515Z,https://i.scdn.co/image/ab67616d0000b2737d142fe444e31edae1c58a93,2024-06-08 10:37:52.515000+00:00
照井順政,「呪術廻戦 懐玉・玉折」オリジナル・サウンドトラック,Arrogance,8/5/2023,album,141000,2024-06-08T10:32:14.238Z,https://i.scdn.co/image/ab67616d0000b273be21efb34b1b948b0e239b56,2024-06-08 10:32:14.238000+00:00
